platform,komentar,timestamp,sentimen,komentar_clean,negasi,label
YouTube,Sy sangat setuju jalan pemikiran pak erik tohir dan sty memang harus lebih banyak pemain naturalisasi supaya generasi kedepannya bisa memainkan sepakbola modern gk ngandelin kecepatan pemain sayap dan striker tunggal aja sprti timnas yg dulu2.. supaya gaya mainnya berubah lebih lepas dan menghibur..,1 tahun yang lalu,netral,sangat tuju jalan pikir pak erik tohir dan sty memang harus lebih banyak main naturalisasi supaya generasi depan bisa main sepakbola modern ngandelin cepat main sayap dan striker tunggal aja sprti timnas dulu supaya gaya main ubah lebih lepas dan hibur,1,1
YouTube,"PSSI Mau naturalisasi, mau hilirisasi, mau reboisasi, mau erosi, mau trasi.... Gw tidak peduli!!! 
Sebagai fans timnas, GW cm pengen lihat negeri ini maju sepakbolanya!!
Lanjutkan pak erick Thohir, saya puas dgn kinerja anda!",1 tahun yang lalu,negatif,NEGASI pssi mau naturalisasi mau hilir mau reboisasi mau erosi mau tras tidak peduli bagai fans timnas ken lihat negeri ini maju sepakbolanya lanjut pak erick thohir saya puas dgn kerja anda,-1,2
YouTube,"Kalo mau Result Oriented tanpa ada pembatasan jelas, pakai saja Naturalisasi semua

Hanya jangan harap saja kita punya anak2 ber cita2 masuk timnas d masa depan😅",1 tahun yang lalu,netral,NEGASI kalo mau result oriented tanpa ada batas jelas pakai saja naturalisasi semua hanya jangan harap saja kita punya anak ber cita masuk timnas masa depan,-1,1
YouTube,Towel itu mavia bola.... Ya orang inilah bersama kelompoknya yg merusak sepak bola kita.... Towel ini berlagak sebagai pahlawan sepak bola... Pada hal dia ini hanya demi kelompoknya mendapatkan cuan.... Hati hati dgn orang ini,1 tahun yang lalu,negatif,towel itu mavia bola orang ini sama kelompok rusak sepak bola kita towel ini lagak bagai pahlawan sepak bola pada hal dia ini hanya demi kelompok dapat cuan hati hati dgn orang ini,1,2
YouTube,"Towel tidak suka klw Indonesia ini maju sepak bolanya, klw bung towel  paling tau paling pintar coba buat team sendiri, kumpul pemain lokal pilihan anda buktikan klw memang anda bisa, jngn cuma koar² disosmed",1 tahun yang lalu (diedit),negatif,NEGASI towel tidak suka klw indonesia ini maju sepak bola klw bung towel paling tau paling pintar coba buat team sendiri kumpul main lokal pilih anda bukti klw memang anda bisa jngn cuma koar disosmed,-1,2
YouTube,Ya luar biasa kita melihatnya...,1 tahun yang lalu,positif,luar biasa kita lihat,1,0
YouTube,Toel kalah xebat,1 tahun yang lalu,negatif,toel kalah xebat,1,2
YouTube,Sekalian naturalisasi satu klub sekalian pelatihnya.,1 tahun yang lalu,netral,sekali naturalisasi satu klub sekali latih,1,1
YouTube,"Positif thinking aja gaes, menurut saya naturalisasi itu bisa jd motivasi pemain lokal untuk berjuang LBH keras untuk bisa naik level, dr mulai segi fisik, skill & kedisiplinan, smga nt malem dpt 3 poin lawan bahrain, salam olah 
Kawan ⚽🏃 🇮🇩 💪💪💪",1 tahun yang lalu,netral,positif thinking aja gaes turut saya naturalisasi itu bisa motivasi main lokal untuk juang lbh keras untuk bisa naik level mulai segi fisik skill disiplin smga malem dpt poin lawan bahrain salam olah kawan,1,1
YouTube,"terlihat jelas orang2 terdahulu ratingnya sangat buruk dlam pengolahan sepakbola,apa iya termasuk orang2 ini begitu keberatan dalam naturalisasi",1 tahun yang lalu,negatif,lihat jelas orang dahulu ratingnya sangat buruk dlam olah sepakbolaapa iya masuk orang ini begitu berat dalam naturalisasi,1,2
YouTube,"Maenset towel dan koloni nya trlalu sempit dan dangkal ..
  Gedek x lihat iniih Oranq, dan sekarang yg lbih bodoh nya sepakbola di campur"" dngn politik byak kluaran binatanq"" yg ga ngerti sepak bola pda kluar ngoceh"" brisik sprti anji*g kmpunq ..",1 tahun yang lalu,netral,NEGASI maenset towel dan koloni nya trlalu sempit dan dangkal gedek lihat iniih oranq dan sekarang lbih bodoh nya sepakbola campur dngn politik byak kluaran binatanq ngerti sepak bola pda kluar ngoceh brisik sprti anjig kmpunq,-1,1
YouTube,"STY n naturalisasi adalah proses instant utk upgrade level timnas, yg perlu diperhatikan adalah tindakan perbaikan pd liga ke arah standart yg lbh tinggi, jd perbaiki kualitas pelatih, lapangan, wasit n berantas mafia sepakbola, berantas jg KKN yg parah di era Rezim shg para pemain baik lokal n naturalisasi bisa hidup sejahtera dari Sepakbola💪🏽🇲🇨🏆",1 tahun yang lalu,netral,sty naturalisasi adalah proses instant utk upgrade level timnas perlu perhati adalah tindak baik liga arah standart lbh tinggi baik kualitas latih lapang wasit berantas mafia sepakbola berantas kkn parah era rezim shg para main baik lokal naturalisasi bisa hidup sejahtera dari sepakbola,1,1
YouTube,"Bagiku mreka bukan pemain asing ataupun naturalisasi, mreka hanya pemain lokal yg di latih dan bermain di luar negeri, dan saat dewasa mreka membela timnas Indonesia",1 tahun yang lalu,negatif,NEGASI bagi mreka bukan main asing atau naturalisasi mreka hanya main lokal latih dan main luar negeri dan saat dewasa mreka bela timnas indonesia,-1,2
YouTube,"towel kita tdk melemahkn kualitas pemain lokal, mslahnya data analytic tentang kmampuan pemain lokal d lapangan sgt tdk memungkinkn utk bermain penuh di tingkat dunia skrg, tetap hrus ada booster yaitu naturalisasi.",1 tahun yang lalu,netral,towel kita tdk melemahkn kualitas main lokal mslahnya data analytic tentang kmampuan main lokal lapang sgt tdk memungkinkn utk main penuh tingkat dunia skrg tetap hrus ada booster yaitu naturalisasi,1,1
YouTube,"Si towel pengen jadi pelatih timnas?? 
Memang manusia seperti itu harus dibuang ke Israel",1 tahun yang lalu,netral,towel ken jadi latih timnas memang manusia seperti itu harus buang israel,1,1
YouTube,Aku masi towell kok mangkel....towell iki sebenere menungso opo ora kah ? Wong kok keminter...cocok di jejeli onde² towell iki,1 tahun yang lalu,netral,aku mas towell kok mangkeltowell iki sebenere menungso opo ora kah wong kok kemintercocok jejeli onde towell iki,1,1
YouTube,"Ini org bisa nya komentar aja,bisa nya cuma comentar aje,,😂 bukan dukung timnas,bisa nya duduk komentar2 doang",1 tahun yang lalu,negatif,NEGASI ini org bisa nya komentar ajabisa nya cuma comentar aje bukan dukung timnasbisa nya duduk komentar doang,-1,2
YouTube,"Towel.. ini virus... suruh buat team buat lawan team STY... 
Towel ini butuh jabatan d PSSI.. dan towel ini prestasinya apa..? Apa towel cuma bisa kritik aja.. tp tidak tindakkan nyata buat teamnas...",1 tahun yang lalu,netral,NEGASI towel ini virus suruh buat team buat lawan team sty towel ini butuh jabat pssi dan towel ini prestasi apa apa towel cuma bisa kritik aja tidak tindak nyata buat teamnas,-1,1
YouTube,emang towel contoh .kalau lihat karet di gantung kasih air  terus di towel/di senggol pasti gerak kesana kemari gak jelas itulah towel ..,1 tahun yang lalu,netral,NEGASI emang towel contoh kalau lihat karet gantung kasih air terus toweldi senggol pasti gerak kesana kemari gak jelas itu towel,-1,1
YouTube,"Towel ini sebenarnya.. Dulu sangat faham, siapa siapa orang mavia bola dan bagaimana cara mereka bergerak... Tp kenapa dulu kok towel... Diem saja....dulu lapangan bola kayak kandang sapi.. Towel ya duem saja... Tp kenapa sekarang kok nyocros terus... Klu ngikuti orang mavia macam towel... Maka seoak bola kita akan runyam terus",1 tahun yang lalu,netral,towel ini benar dulu sangat faham siapa siapa orang mavia bola dan bagaimana cara mereka gerak kenapa dulu kok towel diem sajadulu lapang bola kayak kandang sapi towel duem saja kenapa sekarang kok nyocros terus klu ngikuti orang mavia macam towel maka seoak bola kita akan runyam terus,1,1
YouTube,"Aneh orang ini siapa? Masih ajh di kasih waktu cuap2 di Televisi..  prestasinya apa untuk Timnas,,? Klo STY sudh jelas Pelatih tingkat Dunia,,, aneh bung Towel ini gk bercermin siapa dirinya,,,",1 tahun yang lalu,netral,aneh orang ini siapa masih ajh kasih waktu cuap televisi prestasi apa untuk timnas klo sty sudh jelas latih tingkat dunia aneh bung towel ini cermin siapa diri,1,1
YouTube,Towel bisa nya urusan AFF saja,1 tahun yang lalu,netral,towel bisa nya urus aff saja,1,1
YouTube,"padahal pemain timnas belanda bnyk yg keturunan indonesia, ketika  mereka main di indo... knp jd masalah? LOL!",1 tahun yang lalu,netral,padahal main timnas belanda bnyk turun indonesia ketika mereka main indo knp masalah lol,1,1
YouTube,"No Hate, No Politik, only Football, Towel 🤮🤮🤮🤮",1 tahun yang lalu (diedit),netral,hate politik only football towel,1,1
YouTube,"Harusnya starting line up,50 lokal,50 naturalisasi,,, jadi 50:50",1 tahun yang lalu,netral,harus starting line lokal naturalisasi jadi,1,1
YouTube,"Itu tidak instan,,, tetapi itu kualitas dia,,,, contoh,,, klo pemain lokal seperti, sadil ramdani, main di Juventus,,, ya jls STY akan memanggil dia, tiwel engga faham tu😅",1 tahun yang lalu (diedit),netral,NEGASI itu tidak instan tetapi itu kualitas dia contoh klo main lokal seperti sadil ramdani main juventus jls sty akan panggil dia tiwel engga faham,-1,1
YouTube,Aku slalu berdo a agar towel segera d naturalisasi oleh cina amin.,1 tahun yang lalu,netral,aku slalu berdo agar towel segera naturalisasi oleh cina amin,1,1
YouTube,TIM sekelas Dunia padahal bnyk yg pemainya naturalisasi. Inggris dengan negara liga trbaik pemainya bintangnya juga naturalisasi. Wayne roonie. Jude bellingham. Hary kane,1 tahun yang lalu,positif,tim kelas dunia padahal bnyk mai naturalisasi inggris dengan negara liga trbaik mai bintang juga naturalisasi wayne roonie jude bellingham hary kane,1,0
YouTube,Mending towel suruh debat sama gus samsudin itu malah lebih bagus.,1 tahun yang lalu,positif,mending towel suruh debat sama gus samsudin itu malah lebih bagus,1,0
YouTube,Towel pantek,1 tahun yang lalu,netral,towel pantek,1,1
YouTube,Intinya pssi sukses membawa sepakbola indonesia masuk ronde 3 klualifikasi piala dunia ini fakta dan nyata naturalisasi  program fifa untuk memajukan persepak bolaan dunia secara merata kalau sebuah negara yang industri olahraga persepak bolanya blm maju kalau tdk mau menaturalisasi pemain top dari negara industri teknolo dan teklogi sepak bola maju maka jangan berharap kemajuannya dlm waktu yang cepat  buktinya sekarang kita lihat kita maju rifal lain tetangga ketinggalan kereta baru mau kejar kita sdh sampai naturalisasi itu program fifa tdk ada larangan khususnya bagi semua negara terutama negara yang sepakbolanya belum maju untuk manfaatkan programnya    ini sprit dan merubah meningkatkan sistem kompetisi sepak bola di sebuah negara agar bisa mendatangkan pemain2 bintang berkwalitas untuk merangsang pemain lokal untuk bersaing berprestasi secara menyeluruh bagi talenta muda untuk bisa masuk timnas  bergabung bersaing pendahulunya di dlm tim kalau yang menolak naturalisasi itu adalah orang pola berpikirnya sempit dan bukan pemikiran global serti pemerenta dan pssi  jadi klu orang seperti towel itu pemerenta pssi maupun netizen pendukung timnas tdk perlu tanggapi anggap saja itu sampah maklumi saja karna pengetahuannya cuma sepakbola bukan pengetahuan global,1 tahun yang lalu,negatif,NEGASI inti pssi sukses bawa sepakbola indonesia masuk ronde klualifikasi piala dunia ini fakta dan nyata naturalisasi program fifa untuk maju sepak bola dunia cara rata kalau buah negara yang industri olahraga sepak bola blm maju kalau tdk mau naturalisasi main top dari negara industri teknolo dan teklogi sepak bola maju maka jangan harap maju dlm waktu yang cepat bukti sekarang kita lihat kita maju rifal lain tetangga tinggal kereta baru mau kejar kita sdh sampai naturalisasi itu program fifa tdk ada larang khusus bagi semua negara utama negara yang sepakbolanya belum maju untuk manfaat program ini sprit dan rubah tingkat sistem kompetisi sepak bola buah negara agar bisa datang main bintang berkwalitas untuk rangsang main lokal untuk saing prestasi cara seluruh bagi talenta muda untuk bisa masuk timnas gabung saing dahulu dlm tim kalau yang tolak naturalisasi itu adalah orang pola pikir sempit dan bukan pikir global serti renta dan pssi jadi klu orang seperti towel itu renta pssi maupun netizen dukung timnas tdk perlu tanggap anggap saja itu sampah maklum saja karna tahu cuma sepakbola bukan tahu global,-1,2
YouTube,Saya tetap setuju dg bung towel,1 tahun yang lalu,netral,saya tetap tuju bung towel,1,1
YouTube,Pret apapun alasanya naturalisasi yg besar besaran itu tetap gak baik  apalagi dg sty yg mau dijadikan pelatih seumur hidup,1 tahun yang lalu,negatif,NEGASI pret apa alasanya naturalisasi besar besar itu tetap gak baik apalagi sty mau jadi latih umur hidup,-1,2
YouTube,Naturalisasi dan terus menerus itu adalah program instan yg tdk baik,1 tahun yang lalu,positif,naturalisasi dan terus terus itu adalah program instan tdk baik,1,0
YouTube,Orang macam towel napa masih dikasih panggung lihat sekarang Arab Saudi ditahan imbang berkat pemain naturalisasi,1 tahun yang lalu,netral,orang macam towel napa masih kasih panggung lihat sekarang arab saudi tahan imbang berkat main naturalisasi,1,1
YouTube,Towel dancow' tolong jgn di kasih panggong agar tidak  bikin emosi orang banyak karena towel orang sudah sangat strees  towel bukan apa2 dan bukan siapa2 tapi towel itu hanya mau cari kesempatan  untuk bisa masuk di ke pengurusan PSSI tapi mulutnya sudah terlanjur busuk jadi tetap bau anyir sok tau sepak bola  padahal cuma sok2 an,1 tahun yang lalu,netral,NEGASI towel dancow tolong jgn kasih panggong agar tidak bikin emosi orang banyak karena towel orang sudah sangat strees towel bukan apa dan bukan siapa tapi towel itu hanya mau cari sempat untuk bisa masuk urus pssi tapi mulut sudah lanjur busuk jadi tetap bau anyir sok tau sepak bola padahal cuma sok,-1,1
YouTube,Towel knp kelen undang metrooooo,1 tahun yang lalu,netral,towel knp kelen undang metrooooo,1,1
YouTube,8:10 moment terkocak,1 tahun yang lalu,netral,moment kocak,1,1
YouTube,"Ini orang2 yg mau buat timnas kita hancur...
Komentar nya menjatuhkan...
Bung towel jago ngomong Emang...
Bodohnya ketahuan...
Perlu di asingkan orang ini",1 tahun yang lalu,negatif,ini orang mau buat timnas kita hancur komentar nya jatuh bung towel jago ngomong emang bodoh tahu perlu asing orang ini,1,2
YouTube,"Bodoh ni yg undang towel, dia benci sty",1 tahun yang lalu,negatif,bodoh undang towel dia benci sty,1,2
YouTube,"Klo cari salah ya ga ketemu benernya bung, biarkan rakyat punya harapan cm sepak bola yg bsa menyatukan…",1 tahun yang lalu,netral,NEGASI klo cari salah ketemu benernya bung biar rakyat punya harap sepak bola bsa satu,-1,1
YouTube,Saya rasa suporter Indonesia perlu menyiapkan lagu sindiran buat towel  ketika timnas kita berlaga agar nyanyian itu di nyanyikan keras di tribun,1 tahun yang lalu,netral,saya rasa suporter indonesia perlu siap lagu sindir buat towel ketika timnas kita laga agar nyanyi itu nyanyi keras tribun,1,1
YouTube,"Dari Dulu Pemain Lokal jg udh memenuhi skuad kok, kalau ga diaspora mau sampai kapan kita hanya mampu bersaing di aff saja? mau stuck trs? twolol",1 tahun yang lalu (diedit),netral,NEGASI dari dulu main lokal udh penuh skuad kok kalau diaspora mau sampai kapan kita hanya mampu saing aff saja mau stuck trs twolol,-1,1
YouTube,Lu liat TIMNAS Prancis pemain lokalnya cuman siRabiot doank,1 tahun yang lalu,netral,liat timnas prancis main lokal cuman sirabiot doank,1,1
YouTube,Kelebihan sty adalah saat dia memilih pemain keturunan tdk semua pelatih bisa melakukan  melakukan itu semua,1 tahun yang lalu,netral,lebih sty adalah saat dia pilih main turun tdk semua latih bisa laku laku itu semua,1,1
YouTube,hahahah mw brp tahun lagi liat klo cm talenta talenta lokal untuk ronde 3 akan ada pembantaian besar besaran,1 tahun yang lalu,netral,hahahah brp tahun lagi liat klo talenta talenta lokal untuk ronde akan ada bantai besar besar,1,1
YouTube,masi tolot ni towel .lu mau cari duit di PSSI hancur nanti PSSI kamu ikut capur di PSSI tidak husah ikut campur . ini hurusan  Negara,1 tahun yang lalu,positif,NEGASI mas tolot towel mau cari duit pssi hancur nanti pssi kamu ikut capur pssi tidak husah ikut campur ini hurusan negara,-1,0
YouTube,Adu main bola saja lah dilapangan jangan mbacot mulu lh,1 tahun yang lalu,netral,NEGASI adu main bola saja lah lapang jangan mbacot mulu,-1,1
YouTube,Si Towel mau nya apa sih?,1 tahun yang lalu,netral,towel mau nya apa sih,1,1
YouTube,Kalau kompetisi liga indonesia  sudah bisa bersaing di Afc boleh lah beragumen,1 tahun yang lalu,netral,kalau kompetisi liga indonesia sudah bisa saing afc boleh lah beragumen,1,1
YouTube,Si towel itu mafia bolla mkanya ngak suka spk bola maju,1 tahun yang lalu,positif,towel itu mafia bolla mkanya ngak suka spk bola maju,1,0
YouTube,itu yang gendut siapa,1 tahun yang lalu,netral,itu yang gendut siapa,1,1
YouTube,Towel  hebat jd pelatih bs kh,1 tahun yang lalu,positif,towel hebat latih,1,0
YouTube,"Naturalisasi adalah program yang paling tepat untuk meningkatkan prestasi sepak bola Indonesia.
Kenapa dikatakan tepat, karena kondisi skill, fisik, mental pemain yang ada tidak memungkinkan berprestasi di Asia, apa lagi di dunia, untuk asean saja kesulitan.
Dengan program naturalisasi dapat memberi stimulasi kepada para pemain muda sehingaa dengan melihat para pemain timnas yang terdiri dari pemain diaspora dan lokal maka para pemain muda mempunyai target dalam pribadinya bahwa sepak bola itu ""dengan cara seperti itu, ala eropa...?""
Para pemain muda kita tutup rapat2 dari cara bermain era lama, mental dan daya juang zaman dulu sehingga para pemain muda melihat para pemain timnas bermain ala eropah, akan membuat dan membentuk ""doktrin"" dalam dirinya, gaya, mental, dedikasi para pemain diaspora dan akan membentuk pribadi dan gaya bermain pemain muda.",1 tahun yang lalu,positif,NEGASI naturalisasi adalah program yang paling tepat untuk tingkat prestasi sepak bola indonesia kenapa kata tepat karena kondisi skill fisik mental main yang ada tidak mungkin prestasi asia apa lagi dunia untuk asean saja sulit dengan program naturalisasi dapat beri stimulasi kepada para main muda sehingaa dengan lihat para main timnas yang diri dari main diaspora dan lokal maka para main muda punya target dalam pribadi bahwa sepak bola itu dengan cara seperti itu ala eropa para main muda kita tutup rapat dari cara main era lama mental dan daya juang zaman dulu sehingga para main muda lihat para main timnas main ala eropah akan buat dan bentuk doktrin dalam diri gaya mental dedikasi para main diaspora dan akan bentuk pribadi dan gaya main main muda,-1,0
YouTube,Lalat akan selalu mencari kotoran meskipun di depan sudah di letakkan kue yang enak tapi ini bukan tentang lalat...,1 tahun yang lalu,netral,NEGASI lalat akan selalu cari kotor meski depan sudah letak kue yang enak tapi ini bukan tentang lalat,-1,1
YouTube,Towel naik darah....apa yg bisa towel berikan untuk timnas....apa hannya kritikan aja 😅😅😅....,1 tahun yang lalu,netral,towel naik darahapa bisa towel ikan untuk timnasapa hannya kritik aja,1,1
YouTube,Makelar belanda,1 tahun yang lalu,netral,makelar belanda,1,1
YouTube,"menurut gw si towel bukan ga suka sama pelatih shin,tapi dia ga suka dgn pemimpin pssi yg sekarang pak erik tohir, dan dia ga berani jika terang terangan langsung menyerang atau mengkritik langsung pak erik krna tau laah kapasitas pak erik sprti apa,dan bakal ketahuan siapa asli nya sitowel ini berikut orang2 di di belakang ny,melainkan dia melayangkan serangan ke pelatih yg sekarang agar permainan indonesia menjadi jelek dan imbas nya para fans garuda mengira krna kepengurusan oleh ketua pssi tidak becus,,,dan langsung menuntut mundur pak erik,,dan menuntut untuk tidak memilih pak erik menjadi ketum pssi lagi,dstu lah tim nya si towel masuk buat mngganti ketum pssi yg baru,,nahh kalo suda mereka lagi yg pegang kendali pssi auto donk kantong mereka tebel lagi,,entah itu dr pengaturan skor entah itu dri suap menyuap wasit atau pemaain dsb, pokok nya yg menguntungkan komplotan si towel ini mafia2 bola keparat,..",1 tahun yang lalu,netral,NEGASI turut towel bukan suka sama latih shintapi dia suka dgn pimpin pssi sekarang pak erik tohir dan dia berani jika terang terang langsung serang atau kritik langsung pak erik krna tau laah kapasitas pak erik sprti apadan bakal tahu siapa asli nya sitowel ini ikut orang belakang nymelainkan dia layang serang latih sekarang agar main indonesia jadi jelek dan imbas nya para fans garuda ira krna urus oleh ketua pssi tidak becusdan langsung tuntut mundur pak erikdan tuntut untuk tidak pilih pak erik jadi tum pssi lagidstu lah tim nya towel masuk buat mngganti tum pssi barunahh kalo suda mereka lagi pegang kendali pssi auto donk kantong mereka tebel lagientah itu atur skor entah itu dri suap suap wasit atau pemaain dsb pokok nya untung komplot towel ini mafia bola keparat,-1,1
YouTube,France.. isi.a 90% pemain naturalisasi semua😂,1 tahun yang lalu,netral,france isia main naturalisasi semua,1,1
YouTube,"Sudah lah jgn permasalahkan naturalisasi.
Yg penting Indonesia juara",1 tahun yang lalu,positif,sudah lah jgn masalah naturalisasi penting indonesia juara,1,0
YouTube,dengarin towel...jgn cuman subjektif n pergame aja diliahat,1 tahun yang lalu,netral,dengarin toweljgn cuman subjektif pergame aja diliahat,1,1
YouTube,"Dengerin itu well,,, blokkk",1 tahun yang lalu,netral,dengerin itu well blokkk,1,1
YouTube,GUE juga tau kalau Bung Towel ini hanya kritik STY aja bukan sistem NATURILISASI,1 tahun yang lalu,netral,NEGASI gue juga tau kalau bung towel ini hanya kritik sty aja bukan sistem naturilisasi,-1,1
YouTube,"Kita misalkan, gak usahlah level negara, misalkan ortu kita salah satunya ada yg dari luar pulau jawa. Semisal medan,aceh,makasar,bali papua, dll, terus menikah di Jakarta..
Kalian pasti selalu membanggakan asal muasal nama daerah ortukan. Kira selalu tetap merasa jadi bagian dari daerah salah satu ortukan.

Nah itulah yg dirasakan naturalisasi.
Apa lagi karir pemain tertinggi ya emang kalau bisa menbela sbw negara. Beda bro..
Orang tidak akan lupa dari mana mereka berasal.",1 tahun yang lalu,negatif,NEGASI kita misal gak usah level negara misal ortu kita salah satu ada dari luar pulau jawa misal medanacehmakasarbali papua dll terus meni jakarta kalian pasti selalu bangga asal muasal nama daerah ortukan kira selalu tetap rasa jadi bagi dari daerah salah satu ortukan nah itu rasa naturalisasi apa lagi karir main tinggi emang kalau bisa menbela sbw negara beda bro orang tidak akan lupa dari mana mereka asal,-1,2
YouTube,Yang gendut fans AFF CUP 😂,1 tahun yang lalu,netral,yang gendut fans aff cup,1,1
YouTube,Towel dan para kolega kayak tau bola...perut aja pada buncit... ini sebetulnya orang2 yang m3mbuat indonesia ga mebanggakan...,1 tahun yang lalu,negatif,NEGASI towel dan para kolega kayak tau bolaperut aja pada buncit ini betul orang yang mmbuat indonesia mebanggakan,-1,2
YouTube,"Solusinya untuk menghilangkan Bacot bung towel dan kawan2X,,BLOKIIIRRRR SEMUA MEDIA YANG BERI DIA PANGGUNG",1 tahun yang lalu,netral,solusi untuk hilang bacot bung towel dan kawanxblokiiirrrr semua media yang beri dia panggung,1,1
YouTube,di sini kita tau mana omongan orang pinter dan paham bola dan orang yang bodoh,1 tahun yang lalu,negatif,sini kita tau mana omong orang pinter dan paham bola dan orang yang bodoh,1,2
YouTube,Pak hamdan sabar sekali keren pak sampeyan,1 tahun yang lalu,positif,pak hamdan sabar sekali keren pak sampeyan,1,0
YouTube,"Si towel otak nya nge-lag asli. Malah kalau menang karena STY kalo kalah karena marcelino 😂 sudah tau Tim, kalo bicara kesalahan ya wajar ada kesalahan saat main. Eajar kalau di kritik. kalau gak mau di kritik gak usah main pemain nya, emang kita mengakui Faktor kemajuan sepak bola timnas karena STY dan managemen nya. Dan karena faktor Erik tohir yang gak main² dengan target nya",1 tahun yang lalu,netral,NEGASI towel otak nya ngelag asli malah kalau menang karena sty kalo kalah karena marcelino sudah tau tim kalo bicara salah wajar ada salah saat main eajar kalau kritik kalau gak mau kritik gak usah main main nya emang kita aku faktor maju sepak bola timnas karena sty dan managemen nya dan karena faktor erik tohir yang gak main dengan target nya,-1,1
YouTube,Tolong lah si towel jngn di kasi panggung lagi tolong !!! Perusak towel itu,1 tahun yang lalu,netral,tolong lah towel jngn kasi panggung lagi tolong usak towel itu,1,1
YouTube,Koplo,1 tahun yang lalu,netral,koplo,1,1
YouTube,Towel...ngapain sih...,1 tahun yang lalu,netral,towelngapain sih,1,1
YouTube,Towel tu ko ngotot bngt..kl saya yg jd bung hamdan..udah t tonjok bung towel,1 tahun yang lalu,netral,towel ngotot bngtkl saya bung hamdanudah tonjok bung towel,1,1
YouTube,"keliatan muka"" yang pemikirannya maju",1 tahun yang lalu,netral,liat muka yang pikir maju,1,1
YouTube,Aneh metro tv ngundang pengamat politik bahas bola kaga nyambung,1 tahun yang lalu,netral,aneh metro ngundang amat politik bahas bola kaga nyambung,1,1
YouTube,"intinya si kawan gak dapat jatahn titipan pemain dan gak bisa lagi bermain mafia hahah ,,",1 tahun yang lalu,netral,NEGASI inti kawan gak dapat jatahn titip main dan gak bisa lagi main mafia hahah,-1,1
